A,Element	,A,N,Energy,Unc,JPi,T1/2 (txt),E Gamma   	,Unc,I Gamma  Unc,M Gamma   	,M Ratio,Unc    Conv C              Unc,B(M1),Unc,  B(E2),Unc
16,O      	,8,8,9844.5,5,2+,0.62 KEV 10,2927.1    	,8,347,[M1]      	,        	,       	                   	,0.0042    	,, 8	,	
25,MG     	,12,13,3405.06,17,9/2+,7.7 FS 7,1793.1    	,3,10020,M1+E2     	,-0.13   	,      3	                   	,0.40      	,, 4	12,	6
25,MG     	,12,13,3907.9,4,5/2+,6 FS 2,1170.6    	,9,19.715,[M1]      	,        	,       	                   	,0.30      	,,11	,	
25,MG     	,12,13,4059.6,3,9/2+,47 FS 5,2450.5    	,10,6517,M1+E2     	,-0.46   	,     10	                   	,0.0102    	,,14	2.1,	8
25,MG     	,12,13,5251.63,22,11/2+,15 FS 2,1192.4    	,6,643,M1+E2     	,+0.32   	,      8	                   	,0.19      	,, 3	8.E+1,	4
25,MG     	,12,13,5251.63,22,11/2+,15 FS 2,1846.4    	,5,683,M1+E2     	,+0.18   	,      3	                   	,0.058     	,, 9	3.3,	12
25,MG     	,12,13,8011,2,"(9/2,13/2+)",37 FS 4,2761      	,3,8515,M1+E2     	,-0.18   	,      1	                   	,0.0093    	,,22	0.23,	6
26,MG     	,12,14,2938.33,4,2+,141 FS 8,1129.61   	,4,1006,M1+E2     	,-0.12   	,      2	                   	,0.096     	,, 6	6.1,	21
26,MG     	,12,14,3941.57,4,3+,0.83 PS 12,1003.25   	,4,10016,M1+E2     	,-0.05   	,      4	                   	,0.0162    	,,24	0.23,	+37-22
26,MG     	,12,14,3941.57,4,3+,0.83 PS 12,2132.71   	,4,61.316,M1        	,        	,       	                   	,0.00104   	,,16	,	
26,MG     	,12,14,4350.09,4,3+,105 FS 28,2541.18   	,6,1004,M1+E2     	,-0.10   	,      4	                   	,0.0066    	,,18	0.06,	5
26,MG     	,12,14,4350.09,4,3+,105 FS 28,1411.72   	,4,934,M1+E2     	,-0.31   	,      6	                   	,0.033     	,, 9	9,	4
26,MG     	,12,14,4835.13,5,2+,28 FS 6,1896.72   	,5,1004,M1        	,        	,       	                   	,0.096     	,,21	,	
26,MG     	,12,14,5291.74,6,2+,10 FS LT,1350.20   	,16,3.47,[M1]      	,        	,       	                   	,0.026     	,>,  	,	
26,MG     	,12,14,5476.05,7,4+,21 FS 6,1534.49   	,15,514,M1+E2     	,-0.27   	,      4	                   	,0.071     	,,22	12,	5
26,MG     	,12,14,5476.05,7,4+,21 FS 6,1157.23   	,6,1004,M1+E2     	,+0.09   	,      7	                   	,0.34      	,,10	12,	+19-11
26,MG     	,12,14,5715.91,8,4+,53 FS 16,1774.0    	,9,1005,M1+E2     	,-0.12   	,      4	                   	,0.017     	,, 5	0.4,	2
26,MG     	,12,14,5715.91,8,4+,53 FS 16,1365.54   	,20,95.14,M1+E2     	,-0.17   	,      3	                   	,0.036     	,,10	3.1,	14
26,MG     	,12,14,6125.47,5,3+,14 FS 6,1775.31   	,5,10014,[M1]      	,        	,       	                   	,0.20      	,, 9	,	
26,MG     	,12,14,6622.94,14,(4+),19 FS 5,1146.9    	,,192,[M1]      	,        	,       	                   	,0.063     	,,18	,	
26,MG     	,12,14,6978.3,8,(5+),14 FS 5,2660.0    	,20,344,M1+E2     	,-0.4    	,      2	                   	,0.012     	,, 5	1.5,	12
26,MG     	,12,14,6978.3,8,(5+),14 FS 5,2076.8    	,,224,M1+E2     	,-1.0    	,      6	                   	,0.010     	,, 7	13,	9
26,MG     	,12,14,6978.3,8,(5+),14 FS 5,1501.8    	,10,1008,M1+E2     	,-0.21   	,      5	                   	,0.22      	,, 9	24,	15
26,MG     	,12,14,7396,10,(5+),14 FS LE,1680.0    	,10,1006,(M1+E2)   	,-0.14   	,      2	                   	,0.16      	,>,  	4.6,	>
26,MG     	,12,14,9111.2,5,6+,11 FS LE,1715      	,,164,[M1]      	,        	,       	                   	,0.032     	,>,  	,	
26,MG     	,12,14,9989,1,(6+),7 FS LE,3011      	,,1007,(M1+E2)   	,-0.09   	,      5	                   	,0.078     	,>,  	,	
26,MG     	,12,14,9989,1,(6+),7 FS LE,1517      	,,254,(M1+E2)   	,-0.17   	,     10	                   	,0.15      	,>,  	,	
27,MG     	,12,15,984.88,5,3/2+,0.97 PS 24,984.88    	,8,100,M1+E2     	,+0.22   	,      2	                   	,0.023     	,, 6	6.0,	19
27,MG     	,12,15,3109.73,21,(7/2+),71 FS 18,1169.40   	,25,10013,(M1+E2)   	,-0.23   	,+19-6  	                   	,0.18      	,, 5	4.E+1,	+6-4
28,MG     	,12,16,4554.6,5,2+,0.03 PS LT,3082.6    	,13,100,M1+E2     	,+0.04   	,      3	                   	,0.024     	,>,  	,	
28,MG     	,12,16,4878.6,13,2+,0.08 PS LT,3404.9    	,13,1004,M1+E2     	,+0.35   	,      6	                   	,0.0046    	,>,  	0.18,	>
31,MG     	,12,19,50.1,2,(3/2+),16 NS 3,50.2      	,2,100,[M1]      	,        	,       	0.0128             	5,0.0106    	,,21	,	
25,AL     	,13,12,944.9,5,3/2+,4.3 PS 11,944.9     	,5,647,M1+E2     	,-0.38   	,     15	                   	,0.0021    	,, 7	2.0,	15
25,AL     	,13,12,944.9,5,3/2+,4.3 PS 11,493.3     	,7,1007,M1+E2     	,-0.09   	,      6	                   	,0.026     	,, 7	5,	+7-5
25,AL     	,13,12,1612.5,5,(7/2)+,12 FS 2,1612.4    	,5,100,M1+E2     	,+0.17   	,      4	                   	,0.34      	,,12	25,	12
25,AL     	,13,12,1789.5,5,5/2+,393 FS 36,1789.4    	,5,558,M1+E2     	,+1.0    	,      2	                   	,0.0011    	,, 3	2.0,	6
25,AL     	,13,12,1789.5,5,5/2+,393 FS 36,844.6     	,7,1008,M1+E2     	,+0.17   	,      2	                   	,0.036     	,, 5	8.7,	23
25,AL     	,13,12,2485.3,9,1/2+,4 FS 2,2033.4    	,10,1004,M1        	,        	,       	                   	,0.5       	,, 3	,	
25,AL     	,13,12,2673.3,6,3/2+,4 FS 3,2673.1    	,6,59.112,M1+E2     	,+0.36   	,     11	                   	,0.048     	,,18	,	
25,AL     	,13,12,2720.2,5,7/2+,201 FS 14,930.7     	,7,4622,M1+E2     	,+0.18   	,     14	                   	,0.038     	,,20	8,	+14-8
25,AL     	,13,12,3424.2,8,(9/2)+,9.0 FS 14,1811.6    	,9,1005,M1+E2     	,+0.14   	,      3	                   	,0.34      	,, 6	12,	6
26,AL     	,13,13,1057.739,12,1+,25 FS 5,829.3     	,4,100,M1        	,        	,       	                   	,1.5       	,, 3	,	
26,AL     	,13,13,1850.62,3,1+,32 FS 3,1622.0    	,7,1001,M1        	,        	,       	                   	,0.160     	,,15	,	
26,AL     	,13,13,2069.47,3,(2+),14 FS 2,1011.71   	,,10012,[M1]      	,        	,       	                   	,1.14      	,,17	,	
26,AL     	,13,13,2069.47,3,(2+),14 FS 2,310.43    	,,0.233,[M1]      	,        	,       	                   	,0.091     	,,18	,	
26,AL     	,13,13,2069.47,3,(2+),14 FS 2,218.85    	,,0.05313,[M1]      	,        	,       	                   	,0.060     	,,17	,	
26,AL     	,13,13,2069.47,3,(2+),14 FS 2,1652.56   	,,28.411,[M1]      	,        	,       	                   	,0.075     	,,11	,	
26,AL     	,13,13,2071.64,4,1+,367 FS 69,1842.8    	,7,1001,M1        	,        	,       	                   	,0.0086    	,,17	,	
26,AL     	,13,13,2365.15,18,3+,0.8 PS 2,295.678   	,,1002,[M1]      	,        	,       	                   	,0.54      	,,14	,	
26,AL     	,13,13,2545.367,17,3+,0.69 PS 17,475.892   	,,10015,[M1]      	,        	,       	                   	,0.20      	,, 5	,	
26,AL     	,13,13,2545.367,17,3+,0.69 PS 17,2128.421  	,,38.215,M1+E2     	,+1.5    	,      4	                   	,0.00026   	,,12	0.74,	22
26,AL     	,13,13,2660.92,5,2+,3 PS 3,591.44    	,,4116,[M1]      	,        	,       	                   	,0.009     	,, 9	,	
26,AL     	,13,13,2740.03,3,1+,31 FS 3,2511.59   	,,10020,M1        	,        	,       	                   	,0.044     	,, 5	,	
26,AL     	,13,13,2913.4,5,2+,68 FS 4,843.92    	,,10013,[M1]      	,        	,       	                   	,0.365     	,,23	,	
26,AL     	,13,13,3073.63,4,3+,194 FS 31,1004.14   	,,1006,[M1]      	,        	,       	                   	,0.093     	,,15	,	
26,AL     	,13,13,3159.889,13,2+,3.5 FS 7,1400.814  	,,23.16,[M1]      	,        	,       	                   	,0.34      	,, 7	,	
26,AL     	,13,13,3159.889,13,2+,3.5 FS 7,1309.233  	,,0.555,[M1]      	,        	,       	                   	,0.0098    	,,22	,	
26,AL     	,13,13,3159.889,13,2+,3.5 FS 7,1088.224  	,,4.2513,[M1]      	,        	,       	                   	,0.13      	,, 3	,	
26,AL     	,13,13,3159.889,13,2+,3.5 FS 7,2742.881  	,,10011,M1        	,        	,       	                   	,0.16      	,, 6	,	
26,AL     	,13,13,3159.889,13,2+,3.5 FS 7,794.726   	,,0.358,[M1]      	,        	,       	                   	,0.028     	,, 9	,	
26,AL     	,13,13,3159.889,13,2+,3.5 FS 7,2102.058  	,,25.78,M1        	,        	,       	                   	,0.09      	,, 3	,	
26,AL     	,13,13,3159.889,13,2+,3.5 FS 7,614.514   	,,2.248,[M1]      	,        	,       	                   	,0.39      	,, 8	,	
26,AL     	,13,13,3402.65,6,5+,67 FS 12,3402.41   	,,64.918,(M1+E2)   	,        	,       	                   	,          	,,  	1.5,	3
26,AL     	,13,13,3596.34,4,3+,18 FS 3,1526.82   	,,10022,[M1]      	,        	,       	                   	,0.32      	,, 6	,	
26,AL     	,13,13,3680.68,6,3+,8.3 FS 14,1611.16   	,,10021,[M1]      	,        	,       	                   	,0.59      	,,10	,	
26,AL     	,13,13,3680.68,6,3+,8.3 FS 14,520.79    	,,0.284,[M1]      	,        	,       	                   	,0.049     	,,11	,	
26,AL     	,13,13,3723.81,4,1+,4.2 FS 14,3495.25   	,,1001,M1        	,        	,       	                   	,0.12      	,, 4	,	
26,AL     	,13,13,3750.9,4,2+,22 FS 6,1681.37   	,,1003,[M1]      	,        	,       	                   	,0.14      	,, 4	,	
26,AL     	,13,13,3750.9,4,2+,22 FS 6,591.00    	,,23.214,[M1]      	,        	,       	                   	,0.76      	,,22	,	
26,AL     	,13,13,3753.63,13,0+,5 FS 2,2695.74   	,,1005,[M1]      	,        	,       	                   	,0.19      	,, 8	,	
26,AL     	,13,13,3753.63,13,0+,5 FS 2,1902.93   	,,34,[M1]      	,        	,       	                   	,0.017     	,, 7	,	
26,AL     	,13,13,3753.63,13,0+,5 FS 2,1681.93   	,,113,[M1]      	,        	,       	                   	,0.09      	,, 4	,	
26,AL     	,13,13,3753.63,13,0+,5 FS 2,1013.58   	,,2.23,[M1]      	,        	,       	                   	,0.08      	,, 4	,	
26,AL     	,13,13,3962.83,5,(3+),37 FS 5,1893.29   	,,10014,[M1]      	,        	,       	                   	,0.062     	,, 9	,	
26,AL     	,13,13,4191.92,6,(3+),5 FS 2,1826.70   	,,15.89,[M1]      	,        	,       	                   	,0.07      	,, 3	,	
26,AL     	,13,13,4191.92,6,(3+),5 FS 2,1646.50   	,,3.5717,[M1]      	,        	,       	                   	,0.021     	,, 9	,	
26,AL     	,13,13,4191.92,6,(3+),5 FS 2,1278.49   	,,0.667,[M1]      	,        	,       	                   	,0.008     	,, 4	,	
26,AL     	,13,13,4191.92,6,(3+),5 FS 2,3774.77   	,,10015,[M1]      	,        	,       	                   	,0.048     	,,20	,	
26,AL     	,13,13,4191.92,6,(3+),5 FS 2,595.57    	,,1.512,[M1]      	,        	,       	                   	,0.18      	,, 8	,	
26,AL     	,13,13,4191.92,6,(3+),5 FS 2,2122.97   	,,40.612,[M1]      	,        	,       	                   	,0.11      	,, 5	,	
26,AL     	,13,13,4349.34,7,3+,9 FS 3,2279.76   	,,1006,[M1]      	,        	,       	                   	,0.19      	,, 7	,	
26,AL     	,13,13,4547.92,6,2+,11 FS LT,867.22    	,,0.486,[M1]      	,        	,       	                   	,0.0070    	,>,  	,	
26,AL     	,13,13,4547.92,6,2+,11 FS LT,2002.47   	,,114,[M1]      	,        	,       	                   	,0.013     	,>,  	,	
26,AL     	,13,13,4599.17,5,(3+),5 FS 2,1525.49   	,,2.121,[M1]      	,        	,       	                   	,0.012     	,, 6	,	
26,AL     	,13,13,4599.17,5,(3+),5 FS 2,2839.97   	,,10019,[M1]      	,        	,       	                   	,0.09      	,, 4	,	
26,AL     	,13,13,4599.17,5,(3+),5 FS 2,924.23    	,,6.54,[M1]      	,        	,       	                   	,0.17      	,, 7	,	
26,AL     	,13,13,4599.17,5,(3+),5 FS 2,2053.72   	,,10.54,[M1]      	,        	,       	                   	,0.026     	,,11	,	
26,AL     	,13,13,4599.17,5,(3+),5 FS 2,918.47    	,,1.661,[M1]      	,        	,       	                   	,0.045     	,,19	,	
26,AL     	,13,13,4599.17,5,(3+),5 FS 2,1938.17   	,,13.86,[M1]      	,        	,       	                   	,0.040     	,,16	,	
26,AL     	,13,13,4599.17,5,(3+),5 FS 2,848.26    	,,3.84,[M1]      	,        	,       	                   	,0.13      	,, 6	,	
26,AL     	,13,13,4599.17,5,(3+),5 FS 2,1685.71   	,,7.14,[M1]      	,        	,       	                   	,0.031     	,,13	,	
26,AL     	,13,13,4705.37,4,(4+),3 FS LT,1024.67   	,,0.94,[M1]      	,        	,       	                   	,0.035     	,>,  	,	
26,AL     	,13,13,4705.37,4,(4+),3 FS LT,2340.11   	,,44.714,[M1]      	,        	,       	                   	,0.15      	,>,  	,	
26,AL     	,13,13,4705.37,4,(4+),3 FS LT,2159.91   	,,27.99,[M1]      	,        	,       	                   	,0.12      	,>,  	,	
26,AL     	,13,13,4705.37,4,(4+),3 FS LT,1631.68   	,,1.14,[M1]      	,        	,       	                   	,0.011     	,>,  	,	
26,AL     	,13,13,4773.35,6,4+,82 FS 12,581.42    	,,13.71,[M1]      	,        	,       	                   	,0.056     	,,10	,	
26,AL     	,13,13,4952.3,4,(3+),10 FS 3,2882.66   	,,4414,[M1]      	,        	,       	                   	,0.023     	,, 7	,	
26,AL     	,13,13,4952.3,4,(3+),10 FS 3,1792.34   	,,10018,[M1]      	,        	,       	                   	,0.22      	,, 7	,	
26,AL     	,13,13,4952.3,4,(3+),10 FS 3,760.37    	,,2.34,[M1]      	,        	,       	                   	,0.066     	,,23	,	
26,AL     	,13,13,5010.24,7,(1+),6 FS LT,4781.46   	,,1008,[M1]      	,        	,       	                   	,0.033     	,>,  	,	
26,AL     	,13,13,5010.24,7,(1+),6 FS LT,1256.58   	,,2.48,[M1]      	,        	,       	                   	,0.043     	,>,  	,	
26,AL     	,13,13,5131.93,5,(4+),3 FS LT,1535.54   	,,9.22,[M1]      	,        	,       	                   	,0.083     	,>,  	,	
26,AL     	,13,13,5131.93,5,(4+),3 FS LT,1169.07   	,,4.513,[M1]      	,        	,       	                   	,0.092     	,>,  	,	
26,AL     	,13,13,5131.93,5,(4+),3 FS LT,3062.88   	,,35.922,[M1]      	,        	,       	                   	,0.041     	,>,  	,	
26,AL     	,13,13,5131.93,5,(4+),3 FS LT,926.05    	,,1.175,[M1]      	,        	,       	                   	,0.048     	,>,  	,	
26,AL     	,13,13,5131.93,5,(4+),3 FS LT,2766.62   	,,1002,[M1]      	,        	,       	                   	,0.15      	,>,  	,	
26,AL     	,13,13,5131.93,5,(4+),3 FS LT,782.58    	,,0.727,[M1]      	,        	,       	                   	,0.049     	,>,  	,	
26,AL     	,13,13,5131.93,5,(4+),3 FS LT,2058.21   	,,42.813,[M1]      	,        	,       	                   	,0.16      	,>,  	,	
26,AL     	,13,13,5141.68,6,(2+),4 FS LT,1545.29   	,,1.74,[M1]      	,        	,       	                   	,0.020     	,>,  	,	
26,AL     	,13,13,5141.68,6,(2+),4 FS LT,1178.82   	,,1.63,[M1]      	,        	,       	                   	,0.043     	,>,  	,	
26,AL     	,13,13,5195.11,12,(0+),24 FS LT,4137.02   	,,817,[M1]      	,        	,       	                   	,0.0044    	,>,  	,	
26,AL     	,13,13,5195.11,12,(0+),24 FS LT,3344.26   	,,21.424,[M1]      	,        	,       	                   	,0.0022    	,>,  	,	
26,AL     	,13,13,5195.11,12,(0+),24 FS LT,3123.27   	,,1007,[M1]      	,        	,       	                   	,0.013     	,>,  	,	
26,AL     	,13,13,5195.11,12,(0+),24 FS LT,1471.25   	,,35.724,[M1]      	,        	,       	                   	,0.043     	,>,  	,	
26,AL     	,13,13,5245.28,4,(4+),12 FS 3,1564.55   	,,0.939,[M1]      	,        	,       	                   	,0.0021    	,, 6	,	
26,AL     	,13,13,5245.28,4,(4+),12 FS 3,1053.34   	,,10022,[M1]      	,        	,       	                   	,0.72      	,,19	,	
26,AL     	,13,13,5245.28,4,(4+),12 FS 3,539.90    	,,5.94,[M1]      	,        	,       	                   	,0.32      	,, 9	,	
26,AL     	,13,13,5494.51,5,(2+),5 FS LT,2334.51   	,,4.76,[M1]      	,        	,       	                   	,0.015     	,>,  	,	
26,AL     	,13,13,5494.51,5,(2+),5 FS LT,946.57    	,,2.4222,[M1]      	,        	,       	                   	,0.11      	,>,  	,	
26,AL     	,13,13,5494.51,5,(2+),5 FS LT,3424.80   	,,10011,[M1]      	,        	,       	                   	,0.099     	,>,  	,	
26,AL     	,13,13,5513.48,4,(4+),35 FS 4,1321.52   	,,1003,[M1]      	,        	,       	                   	,0.101     	,,12	,	
26,AL     	,13,13,5513.48,4,(4+),35 FS 4,808.10    	,,1.6216,[M1]      	,        	,       	                   	,0.0072    	,,11	,	
26,AL     	,13,13,5513.48,4,(4+),35 FS 4,381.55    	,,0.714,[M1]      	,        	,       	                   	,0.029     	,, 7	,	
26,AL     	,13,13,5544.56,7,(2+),15 FS 13,1581.68   	,,6.411,[M1]      	,        	,       	                   	,0.007     	,, 6	,	
26,AL     	,13,13,5544.56,7,(2+),15 FS 13,1948.14   	,,184,[M1]      	,        	,       	                   	,0.010     	,, 9	,	
26,AL     	,13,13,5544.56,7,(2+),15 FS 13,1793.59   	,,714,[M1]      	,        	,       	                   	,0.05      	,, 4	,	
26,AL     	,13,13,5671.04,7,1+,30 FS LT,2511.02   	,,46.92,[M1]      	,        	,       	                   	,0.011     	,>,  	,	
26,AL     	,13,13,5671.04,7,1+,30 FS LT,1917.33   	,,1004,M1        	,        	,       	                   	,0.051     	,>,  	,	
26,AL     	,13,13,5726.38,5,(4+),5 FS LT,2323.62   	,,223,[M1]      	,        	,       	                   	,0.029     	,>,  	,	
26,AL     	,13,13,5726.38,5,(4+),5 FS LT,2129.95   	,,6.55,[M1]      	,        	,       	                   	,0.011     	,>,  	,	
26,AL     	,13,13,5726.38,5,(4+),5 FS LT,1763.49   	,,16.58,[M1]      	,        	,       	                   	,0.049     	,>,  	,	
26,AL     	,13,13,5726.38,5,(4+),5 FS LT,1377.00   	,,2.23,[M1]      	,        	,       	                   	,0.014     	,>,  	,	
26,AL     	,13,13,5849.21,8,(2+),10 FS 6,707.52    	,,6.513,[M1]      	,        	,       	                   	,0.19      	,,13	,	
26,AL     	,13,13,5849.21,8,(2+),10 FS 6,3779.44   	,,1006,[M1]      	,        	,       	                   	,0.020     	,,12	,	
26,AL     	,13,13,5849.21,8,(2+),10 FS 6,1657.23   	,,314,[M1]      	,        	,       	                   	,0.07      	,, 5	,	
26,AL     	,13,13,5849.21,8,(2+),10 FS 6,1301.25   	,,17.519,[M1]      	,        	,       	                   	,0.08      	,, 6	,	
26,AL     	,13,13,5882.65,9,(3+),12 FS LT,1690.67   	,,416,[M1]      	,        	,       	                   	,0.0065    	,>,  	,	
26,AL     	,13,13,5882.65,9,(3+),12 FS LT,740.96    	,,5.323,[M1]      	,        	,       	                   	,0.10      	,>,  	,	
26,AL     	,13,13,5882.65,9,(3+),12 FS LT,1334.69   	,,1005,[M1]      	,        	,       	                   	,0.33      	,>,  	,	
26,AL     	,13,13,5882.65,9,(3+),12 FS LT,1283.45   	,,5.312,[M1]      	,        	,       	                   	,0.020     	,>,  	,	
26,AL     	,13,13,5882.65,9,(3+),12 FS LT,1177.25   	,,5.319,[M1]      	,        	,       	                   	,0.026     	,>,  	,	
26,AL     	,13,13,5882.65,9,(3+),12 FS LT,750.71    	,,5.123,[M1]      	,        	,       	                   	,0.095     	,>,  	,	
26,AL     	,13,13,5924.19,7,(4+),12 FS LT,2243.41   	,,406,[M1]      	,        	,       	                   	,0.031     	,>,  	,	
26,AL     	,13,13,5949.93,8,1(+),30 FS LT,3880.15   	,,509,[M1]      	,        	,       	                   	,0.0027    	,>,  	,	
26,AL     	,13,13,5949.93,8,1(+),30 FS LT,2789.88   	,,1009,[M1]      	,        	,       	                   	,0.015     	,>,  	,	
26,AL     	,13,13,5949.93,8,1(+),30 FS LT,2196.20   	,,476,M1        	,        	,       	                   	,0.014     	,>,  	,	
26,AL     	,13,13,6270.19,11,1+,9 FS LT,1075.06   	,,93,M1        	,        	,       	                   	,0.13      	,>,  	,	
26,AL     	,13,13,6280.33,9,(3+),14 FS LT,2088.32   	,,6611,[M1]      	,        	,       	                   	,0.040     	,>,  	,	
26,AL     	,13,13,6280.33,9,(3+),14 FS LT,1681.10   	,,2911,[M1]      	,        	,       	                   	,0.033     	,>,  	,	
26,AL     	,13,13,6280.33,9,(3+),14 FS LT,1148.37   	,,2914,[M1]      	,        	,       	                   	,0.10      	,>,  	,	
26,AL     	,13,13,6280.33,9,(3+),14 FS LT,1138.62   	,,3717,[M1]      	,        	,       	                   	,0.14      	,>,  	,	
26,AL     	,13,13,6280.33,9,(3+),14 FS LT,3120.24   	,,10023,[M1]      	,        	,       	                   	,0.018     	,>,  	,	
27,AL     	,13,14,1014.56,9,3/2+,1.49 PS 7,1014.52   	,10,1003,M1+E2     	,-0.351  	,     12	                   	,0.0122    	,, 8	7.8,	7
27,AL     	,13,14,2212.01,10,(7/2+),26.6 FS 6,2212.01   	,10,100,M1+E2     	,+0.468  	,      9	                   	,0.0627    	,,15	15.0,	6
27,AL     	,13,14,2734.9,7,5/2+,8.9 FS 12,1720.3    	,8,1003,M1+E2     	,+0.115  	,      8	                   	,0.36      	,, 6	8.7,	18
27,AL     	,13,14,4410.2,4,5/2+,1.2 FS 1,4409.8    	,5,1005,M1+E2     	,-0.04   	,      2	                   	,0.122     	,,12	0.05,	+5-5
27,AL     	,13,14,4510.3,5,(11/2+),222 FS 14,1506.0    	,10,303,M1+E2     	,+0.59   	,      2	                   	,0.0044    	,, 7	3.6,	6
27,AL     	,13,14,4580,8,(7/2+),5.3 FS 6,4579.5    	,9,1004,M1+E2     	,+0.21   	,      2	                   	,0.028     	,, 4	0.31,	7
27,AL     	,13,14,4580,8,(7/2+),5.3 FS 6,2368.7    	,11,243,M1+E2     	,-0.08   	,      6	                   	,0.050     	,, 9	0.3,	+5-3
27,AL     	,13,14,4580,8,(7/2+),5.3 FS 6,1845.0    	,11,10.621,M1+E2     	,-0.003  	,       	                   	,0.053     	,, 8	0.0007,	12
27,AL     	,13,14,4811.6,5,5/2+,1.5 FS 2,4811.1    	,6,715,M1+E2     	,-0.47   	,      6	                   	,0.034     	,, 6	1.7,	5
27,AL     	,13,14,4811.6,5,5/2+,1.5 FS 2,3796.8    	,6,1005,M1+E2     	,-0.08   	,      4	                   	,0.117     	,,18	0.3,	3
27,AL     	,13,14,4811.6,5,5/2+,1.5 FS 2,2600.3    	,8,385,M1+E2     	,+0.19   	,      6	                   	,0.13      	,, 3	3.8,	25
27,AL     	,13,14,4811.6,5,5/2+,1.5 FS 2,1829.5    	,6,135,M1+E2     	,-0.06   	,      3	                   	,0.14      	,, 6	,	
27,AL     	,13,14,5419.9,9,(9/2+),14 FS LT,3208.5    	,11,1003,M1+E2     	,+0.29   	,      4	                   	,0.035     	,>,  	1.2,	>
27,AL     	,13,14,5499.8,8,11/2+,7 FS LT,2495.4    	,12,1003,M1+E2     	,+0.29   	,      2	                   	,0.13      	,>,  	8.2,	>
27,AL     	,13,14,5667.3,12,9/2+,11 FS 3,2662.9    	,15,10013,(M1+E2)   	,-0.17   	,      5	                   	,0.057     	,,19	1.2,	8
27,AL     	,13,14,5667.3,12,9/2+,11 FS 3,1156.9    	,14,208,(M1)      	,        	,       	                   	,0.14      	,, 7	,	
27,AL     	,13,14,7400,1,11/2+,24 FS 10,686.9     	,15,143,M1+E2     	,-0.06   	,      3	                   	,0.14      	,, 7	6,	+7-6
27,AL     	,13,14,7400,1,11/2+,24 FS 10,4395.4    	,13,10012,M1+E2     	,+0.67   	,      7	                   	,0.0027    	,,12	0.33,	16
27,AL     	,13,14,7400,1,11/2+,24 FS 10,2889.5    	,12,316,M1+E2     	,-0.39   	,      8	                   	,0.0037    	,,18	0.36,	21
27,AL     	,13,14,7400,1,11/2+,24 FS 10,1900.1    	,13,366,M1+E2     	,-0.19   	,      6	                   	,0.017     	,, 8	0.9,	7
28,AL     	,13,15,30.6382,7,2+,2.07 NS 5,30.6382   	,7,100,M1        	,        	,       	                   	,0.370     	,, 9	,	
28,AL     	,13,15,1013.637,9,3+,103 FS 14,983.018   	,16,10011,M1+E2     	,+0.13   	,      5	                   	,0.14      	,, 3	12,	10
28,AL     	,13,15,1013.637,9,3+,103 FS 14,1013.676  	,21,617,[M1]      	,        	,       	                   	,0.078     	,,16	,	
28,AL     	,13,15,1372.917,20,1+,223 FS 35,1342.30   	,11,10010,M1+E2     	,-0.14   	,      5	                   	,0.022     	,, 5	1.2,	9
28,AL     	,13,15,1372.917,20,1+,223 FS 35,400.58    	,3,637,[M1]      	,        	,       	                   	,0.54      	,,12	,	
28,AL     	,13,15,1620.3,4,1+,92 FS 22,647.93    	,7,4.425,[M1]      	,        	,       	                   	,0.034     	,,22	,	
28,AL     	,13,15,1620.3,4,1+,92 FS 22,1589.72   	,8,10013,M1+E2     	,+0.18   	,      9	                   	,0.051     	,,16	3,	+4-3
28,AL     	,13,15,1622.907,20,2+,63 FS 10,1622.87   	,6,10011,[M1]      	,        	,       	                   	,0.073     	,,16	,	
28,AL     	,13,15,2201.43,3,1+,32 FS 2,1229.8    	,4,203,[M1]      	,        	,       	                   	,0.054     	,,10	,	
28,AL     	,13,15,2271.745,19,4+,22 FS 3,2271.650  	,23,1005,[M1]      	,        	,       	                   	,0.079     	,,13	,	
28,AL     	,13,15,2486.2,6,2+,66 FS 7,865.87    	,15,10013,[M1]      	,        	,       	                   	,0.30      	,, 6	,	
28,AL     	,13,15,2486.2,6,2+,66 FS 7,2486.09   	,7,332,[M1]      	,        	,       	                   	,0.0042    	,, 7	,	
28,AL     	,13,15,2581.81,22,5+,313 FS 25,310.2     	,,62,[M1]      	,        	,       	                   	,0.13      	,, 5	,	
28,AL     	,13,15,2656.3,4,4+,22 FS 3,1642.35   	,10,1005,[M1]      	,        	,       	                   	,0.16      	,, 3	,	
29,AL     	,13,16,3184.54,18,5/2+,124 FS 23,1430.2    	,4,443,M1+E2     	,+0.25   	,      6	                   	,0.014     	,, 3	2.0,	10
29,AL     	,13,16,3184.54,18,5/2+,124 FS 23,960.4     	,4,1004,M1+E2     	,+0.03   	,      2	                   	,0.109     	,,21	0.5,	+7-5
29,AL     	,13,16,3433,4,1/2+,7 NS LT,2034.9    	,6,1004,M1        	,        	,       	                   	,2.8E-7    	,>,  	,	
30,AL     	,13,17,687.52,12,1+,0.7 PS 2,443.63    	,8,1002,(M1)      	,        	,       	                   	,0.35      	,,10	,	
30,AL     	,13,17,1118.9,3,3+,83 FS 55,875.1     	,5,1004,M1        	,        	,       	                   	,0.4       	,, 3	,	
26,SI     	,14,12,2787.05,13,2+,146 FS 35,988.9     	,1,10027,M1+E2     	,+0.21   	,     10	                   	,0.100     	,,25	25,	24
